City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hours),Snow inches (last 3 hours)
0,Arraial Do Cabo,BR,2020-05-09 20:49:08,-22.97,-42.03,71.6,68,0,5.82,clear sky,0.0,0.0
1,Dikson,RU,2020-05-09 20:49:08,73.51,80.55,26.06,97,92,18.37,overcast clouds,0.0,0.0
2,Tautira,PF,2020-05-09 20:49:08,-17.73,-149.15,86.0,70,35,4.7,scattered clouds,0.0,0.0
3,Newport,GB,2020-05-09 20:49:09,51.59,-3.0,63.0,73,98,5.75,overcast clouds,0.0,0.0
4,Tiksi,RU,2020-05-09 20:49:09,71.69,128.87,17.38,95,0,4.76,clear sky,0.0,0.0
5,Kahului,US,2020-05-09 20:49:09,20.89,-156.47,80.6,57,40,17.22,scattered clouds,0.0,0.0
6,Sioux Lookout,CA,2020-05-09 20:49:09,50.1,-91.92,42.8,45,75,13.87,broken clouds,0.0,0.0
7,Rikitea,PF,2020-05-09 20:49:09,-23.12,-134.97,75.51,69,83,2.98,broken clouds,0.0,0.0
8,Dunedin,NZ,2020-05-09 20:48:53,-45.87,170.5,51.01,96,83,4.0,broken clouds,0.0,0.0
9,Broome,US,2020-05-09 20:49:10,42.25,-75.83,37.0,85,40,16.11,light snow,0.0,0.0
10,Sambava,MG,2020-05-09 20:49:10,-14.27,50.17,75.34,85,79,13.09,broken clouds,0.0,0.0
11,Ushuaia,AR,2020-05-09 20:49:11,-54.8,-68.3,48.2,70,75,4.7,broken clouds,0.0,0.0
12,Qaqortoq,GL,2020-05-09 20:49:11,60.72,-46.03,51.8,21,92,21.92,overcast clouds,0.0,0.0
13,Geraldton,AU,2020-05-09 20:49:11,-28.77,114.6,60.8,44,70,5.82,broken clouds,0.0,0.0
14,Jamestown,US,2020-05-09 20:45:20,42.1,-79.24,37.0,69,90,19.46,overcast clouds,0.0,0.0
15,Ulladulla,AU,2020-05-09 20:49:12,-35.35,150.47,51.01,61,0,12.75,clear sky,0.0,0.0
16,Ostrovnoy,RU,2020-05-09 20:49:12,68.05,39.51,34.29,88,100,3.09,overcast clouds,0.0,0.0
17,Puerto Ayora,EC,2020-05-09 20:49:12,-0.74,-90.35,84.2,70,20,20.8,few clouds,0.0,0.0
18,Mataura,NZ,2020-05-09 20:49:13,-46.19,168.86,47.55,80,63,3.83,broken clouds,0.0,0.0
19,Butaritari,KI,2020-05-09 20:49:13,3.07,172.79,83.01,81,0,11.61,clear sky,0.0,0.0
20,Tuktoyaktuk,CA,2020-05-09 20:49:13,69.45,-133.04,33.8,74,40,21.92,scattered clouds,0.0,0.0
21,Barrow,US,2020-05-09 20:49:14,71.29,-156.79,28.4,86,1,8.05,clear sky,0.0,0.0
22,Khatanga,RU,2020-05-09 20:49:14,71.97,102.5,16.48,96,11,8.16,few clouds,0.0,0.0
23,Punta Arenas,CL,2020-05-09 20:49:14,-53.15,-70.92,44.6,87,75,4.7,broken clouds,0.0,0.0
24,Kaitangata,NZ,2020-05-09 20:49:14,-46.28,169.85,50.0,74,95,1.99,overcast clouds,0.0,0.0
25,San Jose,US,2020-05-09 20:45:52,37.34,-121.89,82.99,41,5,9.17,clear sky,0.0,0.0
26,Kosonsoy,UZ,2020-05-09 20:49:15,41.26,71.55,62.6,72,97,6.93,overcast clouds,0.0,0.0
27,Vardo,NO,2020-05-09 20:49:15,70.37,31.11,34.65,83,75,2.59,broken clouds,0.0,0.0
28,Ponta Do Sol,PT,2020-05-09 20:49:15,32.67,-17.1,68.0,68,40,4.7,scattered clouds,0.0,0.0
29,Remontnoye,RU,2020-05-09 20:49:15,46.56,43.65,50.0,71,1,17.9,clear sky,0.0,0.0
30,Vanimo,PG,2020-05-09 20:46:22,-2.67,141.3,79.0,86,82,5.48,light rain,0.0,0.0
31,Worthington,US,2020-05-09 20:48:13,40.09,-83.02,50.0,36,90,16.11,overcast clouds,0.0,0.0
32,Albany,US,2020-05-09 20:47:32,42.6,-73.97,43.0,36,79,1.01,broken clouds,0.0,0.0
33,Kodiak,US,2020-05-09 20:46:58,57.79,-152.41,44.6,81,90,10.29,light rain,0.0,0.0
34,Saint-Philippe,RE,2020-05-09 20:49:17,-21.36,55.77,69.8,77,20,8.05,few clouds,0.0,0.0
35,Pevek,RU,2020-05-09 20:49:17,69.7,170.31,38.16,74,100,9.98,overcast clouds,0.0,0.0
36,Atuona,PF,2020-05-09 20:49:17,-9.8,-139.03,80.91,78,48,17.02,scattered clouds,0.0,0.0
37,Port Alfred,ZA,2020-05-09 20:49:17,-33.59,26.89,61.0,95,1,5.01,clear sky,0.0,0.0
38,Mar Del Plata,AR,2020-05-09 20:49:11,-38.0,-57.56,66.99,68,0,18.34,clear sky,0.0,0.0
39,Ayna,PE,2020-05-09 20:49:18,-12.65,-73.92,68.86,60,93,4.09,overcast clouds,0.0,0.0
40,Gimli,CA,2020-05-09 20:49:18,50.63,-96.99,46.99,41,100,21.0,overcast clouds,0.0,0.0
41,Upernavik,GL,2020-05-09 20:49:18,72.79,-56.15,20.55,92,100,11.16,overcast clouds,0.0,0.0
42,Qasigiannguit,GL,2020-05-09 20:49:19,68.82,-51.19,33.8,74,100,11.41,overcast clouds,0.0,0.0
43,Hami,CN,2020-05-09 20:49:19,42.8,93.45,55.92,34,0,6.11,clear sky,0.0,0.0
44,Omboue,GA,2020-05-09 20:49:19,-1.57,9.26,77.54,85,69,3.38,broken clouds,0.0,0.0
45,Mahebourg,MU,2020-05-09 20:49:19,-20.41,57.7,73.4,83,40,9.17,scattered clouds,0.0,0.0
46,Mombaca,BR,2020-05-09 20:49:19,-5.74,-39.63,72.37,78,31,0.74,scattered clouds,0.0,0.0
47,Ribeira Grande,PT,2020-05-09 20:49:20,38.52,-28.7,64.4,88,75,19.46,broken clouds,0.0,0.0
48,Vaini,TO,2020-05-09 20:49:20,-21.2,-175.2,80.6,94,75,10.29,broken clouds,0.0,0.0
49,Coahuayana,MX,2020-05-09 20:49:20,18.73,-103.68,91.4,41,40,11.41,scattered clouds,0.0,0.0
50,Den Helder,NL,2020-05-09 20:49:20,52.96,4.76,60.01,87,20,8.05,few clouds,0.0,0.0
51,Busselton,AU,2020-05-09 20:49:21,-33.65,115.33,39.99,73,0,3.85,clear sky,0.0,0.0
52,Korla,CN,2020-05-09 20:49:21,41.76,86.15,65.8,25,25,6.91,scattered clouds,0.0,0.0
53,Iida,JP,2020-05-09 20:49:21,35.52,137.82,55.0,100,100,1.45,moderate rain,0.0,0.0
54,Iberia,US,2020-05-09 20:49:21,29.95,-91.75,66.2,52,90,12.75,overcast clouds,0.0,0.0
55,Cozumel,MX,2020-05-09 20:49:22,20.51,-86.95,87.8,66,75,9.17,broken clouds,0.0,0.0
56,Okato,NZ,2020-05-09 20:49:22,-39.2,173.88,51.01,84,15,4.0,few clouds,0.0,0.0
57,Airai,TL,2020-05-09 20:49:22,-8.93,125.41,56.43,100,100,3.47,overcast clouds,0.0,0.0
58,Itoman,JP,2020-05-09 20:49:22,26.12,127.67,75.2,94,40,5.82,scattered clouds,0.0,0.0
59,New Norfolk,AU,2020-05-09 20:49:23,-42.78,147.06,42.01,85,18,3.15,few clouds,0.0,0.0
60,Bluff,NZ,2020-05-09 20:49:23,-46.6,168.33,52.32,77,75,9.06,broken clouds,0.0,0.0
61,Vila Franca Do Campo,PT,2020-05-09 20:49:23,37.72,-25.43,62.6,88,75,24.16,broken clouds,0.0,0.0
62,Hobart,AU,2020-05-09 20:45:02,-42.88,147.33,45.0,81,20,5.82,few clouds,0.0,0.0
63,San Patricio,MX,2020-05-09 20:49:24,19.22,-104.7,86.0,79,20,11.41,few clouds,0.0,0.0
64,Yar-Sale,RU,2020-05-09 20:49:24,66.83,70.83,33.39,92,93,6.89,overcast clouds,0.0,0.0
65,Acapulco,MX,2020-05-09 20:44:37,16.86,-99.89,87.8,62,5,8.05,clear sky,0.0,0.0
66,Ekhabi,RU,2020-05-09 20:49:24,53.51,142.97,32.45,94,96,10.13,overcast clouds,0.0,0.0
67,Los Llanos De Aridane,ES,2020-05-09 20:49:25,28.66,-17.92,69.8,73,40,17.22,scattered clouds,0.0,0.0
68,Conde,BR,2020-05-09 20:49:25,-7.26,-34.91,80.6,74,20,17.22,few clouds,0.0,0.0
69,Kovdor,RU,2020-05-09 20:49:25,67.57,30.48,28.81,98,78,3.98,broken clouds,0.0,0.0
70,Avarua,CK,2020-05-09 20:49:25,-21.21,-159.78,80.6,83,13,16.11,few clouds,0.0,0.0
71,Lorengau,PG,2020-05-09 20:49:26,-2.02,147.27,83.64,75,8,6.4,clear sky,0.0,0.0
72,Krasnoselkup,RU,2020-05-09 20:49:26,65.7,82.47,30.45,97,0,5.03,clear sky,0.0,0.0
73,Thompson,CA,2020-05-09 20:49:26,55.74,-97.86,35.6,43,75,18.34,broken clouds,0.0,0.0
74,Yenagoa,NG,2020-05-09 20:49:26,4.92,6.26,79.05,91,30,3.78,scattered clouds,0.0,0.0
75,Neiafu,TO,2020-05-09 20:49:26,-18.65,-173.98,82.4,83,40,9.17,scattered clouds,0.0,0.0
76,Jacareacanga,BR,2020-05-09 20:49:27,-6.22,-57.75,80.15,92,98,2.46,light rain,0.0,0.0
77,Buan,PH,2020-05-09 20:49:27,5.16,120.04,82.17,77,95,3.09,overcast clouds,0.0,0.0
78,Faanui,PF,2020-05-09 20:45:28,-16.48,-151.75,81.7,80,23,17.9,few clouds,0.0,0.0
79,Bandar-E Lengeh,IR,2020-05-09 20:49:27,26.56,54.88,87.12,33,47,8.21,scattered clouds,0.0,0.0
80,Ilulissat,GL,2020-05-09 20:48:08,69.22,-51.1,33.8,74,100,11.41,overcast clouds,0.0,0.0
81,Tecoanapa,MX,2020-05-09 20:49:28,16.52,-98.75,89.98,52,0,14.03,clear sky,0.0,0.0
82,Chuy,UY,2020-05-09 20:49:28,-33.7,-53.46,59.22,65,87,6.38,overcast clouds,0.0,0.0
