City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Arraial Do Cabo,BR,71.6,clear sky,-22.97,-42.03,Pousada Porto Praia
5,Kahului,US,80.6,scattered clouds,20.89,-156.47,Maui Seaside Hotel
7,Rikitea,PF,75.51,broken clouds,-23.12,-134.97,Pension Maro'i
10,Sambava,MG,75.34,broken clouds,-14.27,50.17,Melrose
17,Puerto Ayora,EC,84.2,few clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
19,Butaritari,KI,83.01,clear sky,3.07,172.79,Isles Sunset Lodge
25,San Jose,US,82.99,clear sky,37.34,-121.89,The Westin San Jose
30,Vanimo,PG,79.0,light rain,-2.67,141.3,Vahmoneh Lodge Vanimo
36,Atuona,PF,80.91,scattered clouds,-9.8,-139.03,Villa Enata
44,Omboue,GA,77.54,broken clouds,-1.57,9.26,Hotel Olako
45,Mahebourg,MU,73.4,scattered clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
46,Mombaca,BR,72.37,scattered clouds,-5.74,-39.63,Hotel Central Mombaça
48,Vaini,TO,80.6,broken clouds,-21.2,-175.2,Keleti Beach Resort
58,Itoman,JP,75.2,scattered clouds,26.12,127.67,Southern Beach Hotel & Resort Okinawa
68,Conde,BR,80.6,few clouds,-7.26,-34.91,Pousada Beija Flor
70,Avarua,CK,80.6,few clouds,-21.21,-159.78,Paradise Inn
71,Lorengau,PG,83.64,clear sky,-2.02,147.27,Lorengau Harbourside Hotel
74,Yenagoa,NG,79.05,scattered clouds,4.92,6.26,Amba Hotels Limited
75,Neiafu,TO,82.4,scattered clouds,-18.65,-173.98,Mystic Sands
76,Jacareacanga,BR,80.15,light rain,-6.22,-57.75,Casa do Ian😎
77,Buan,PH,82.17,overcast clouds,5.16,120.04,
78,Faanui,PF,81.7,few clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
85,Sibiti,CG,72.09,overcast clouds,-3.68,13.35,Hotel Mapila 1
86,Minbu,MM,83.84,clear sky,20.18,94.88,Kaung Thar Guest House - Burmese Only
88,Pringsewu,ID,75.07,light rain,-5.36,104.97,Urban Style by Front One
90,Cobija,BO,83.82,clear sky,-11.03,-68.77,Hotel Obelisco
92,Kapaa,US,77.0,overcast clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
95,Tual,ID,82.54,few clouds,-5.67,132.75,Grand Vilia Hotel
101,Manggar,ID,79.57,broken clouds,-2.88,108.27,Guest Hotel
102,Bambous Virieux,MU,73.4,scattered clouds,-20.34,57.76,Casa Tia Villa
103,Tezu,IN,71.89,clear sky,27.92,96.17,Circuit House
104,Jiwani,PK,83.7,broken clouds,25.05,61.74,Al Mumtaz Transport Jiwani
105,Ternate,ID,82.53,scattered clouds,0.8,127.4,Grand Dafam Bela Ternate
107,Angoche,MZ,73.81,light rain,-16.23,39.91,Guest House HESADA
108,Souillac,MU,73.4,scattered clouds,-20.52,57.52,Bils' Villa
109,Gallup,US,80.6,clear sky,35.53,-108.74,El Capitan Motel
115,Zhuhai,CN,84.2,scattered clouds,22.28,113.57,珠海粤财假日酒店
117,Koungou,YT,78.8,light rain,-12.73,45.2,Villa Netibor
118,Bathsheba,BB,84.2,shower rain,13.22,-59.52,Atlantis Hotel
119,Hilo,US,78.8,scattered clouds,19.73,-155.09,Hilo Hawaiian Hotel
120,Mitu,CO,80.04,moderate rain,1.2,-70.17,
132,Lompoc,US,72.0,broken clouds,34.64,-120.46,Holiday Inn Express Lompoc
134,Guerrero Negro,MX,77.25,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
135,Kochi,IN,80.6,thunderstorm,9.94,76.26,Trident Hotel Cochin
138,Makakilo City,US,82.4,broken clouds,21.35,-158.09,Marriott's Ko Olina Beach Club
139,Victoria,HK,82.0,broken clouds,22.29,114.16,Mini Hotel Central
142,Amapa,BR,78.6,moderate rain,1.0,-52.0,
144,Sao Felix Do Xingu,BR,78.62,light rain,-6.64,-51.99,Apart Hotel Rio Xingu
153,Cap Malheureux,MU,71.01,clear sky,-19.98,57.61,Pereybere Hotel & Spa
155,Sibolga,ID,77.63,overcast clouds,1.74,98.78,Hotel Syariah CN Darussalam
157,Bonthe,SL,81.37,light rain,7.53,-12.51,Bonthe Holiday Village
163,Hambantota,LK,81.48,overcast clouds,6.12,81.12,Bungalow 63
165,Kabalo,CD,71.29,clear sky,-6.05,26.92,
171,Lishui,CN,74.05,light rain,28.46,119.91,Bayi Hotel
172,Aswan,EG,75.4,clear sky,24.09,32.91,Nuba Nile
174,Hobyo,SO,84.25,broken clouds,5.35,48.53,
176,Kalmunai,LK,80.62,overcast clouds,7.42,81.82,VS Villa
179,Alofi,NU,82.4,scattered clouds,-19.06,-169.92,Taloa Heights
182,Hithadhoo,MV,84.67,light rain,-0.6,73.08,Scoop Guest House
185,Emilio Carranza,MX,83.32,clear sky,19.97,-96.61,hotel delicias
190,Alyangula,AU,73.4,clear sky,-13.85,136.42,Groote Eylandt Lodge
192,Sao Joao Da Barra,BR,75.2,scattered clouds,-21.64,-41.05,Pousada Porto De Canoas
196,Pemba,MZ,76.39,few clouds,-12.97,40.52,Guesthouse Samotina
200,Tura,IN,74.43,clear sky,25.52,90.22,Hotel RIKMAN Continental
202,Georgetown,MY,80.6,few clouds,5.41,100.34,Cititel Penang
204,Dovers,VC,82.4,few clouds,12.88,-61.18,Ocean Breeze
205,Caravelas,BR,71.51,few clouds,-17.71,-39.25,Pousada dos Navegantes
207,Imbituba,BR,71.6,clear sky,-28.24,-48.67,Praia Hotel Imbituba
209,Guarapari,BR,73.4,clear sky,-20.67,-40.5,Hotel Porto do Sol
211,Bandarbeyla,SO,82.62,clear sky,9.49,50.81,REER XOOSHLE GROUP
213,Antalaha,MG,74.1,overcast clouds,-14.9,50.28,Hotel Vitasoa
219,Kloulklubed,PW,78.8,light intensity shower rain,7.04,134.26,Storyboard Beach Resort
