City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Thompson,CA,2020-01-05 14:21:59,55.74,-97.86,5.0,92,90,4.7
1,Mount Gambier,AU,2020-01-05 14:21:59,-37.83,140.78,48.2,81,5,8.05
2,Vung Tau,VN,2020-01-05 14:19:02,10.35,107.08,76.06,76,100,9.66
3,Puerto Escondido,MX,2020-01-05 14:22:00,15.86,-97.07,69.8,100,40,6.93
4,Igarka,RU,2020-01-05 14:22:00,67.47,86.57,24.19,92,100,12.68
5,Rio Grande,BR,2020-01-05 14:22:00,-32.03,-52.1,86.0,51,40,11.41
6,Namatanai,PG,2020-01-05 14:22:01,-3.66,152.44,84.11,72,87,6.98
7,Rikitea,PF,2020-01-05 14:22:01,-23.12,-134.97,75.47,72,8,14.5
8,Yellowknife,CA,2020-01-05 14:22:01,62.45,-114.38,-4.0,83,75,9.17
9,Saint-Philippe,CA,2020-01-05 14:22:01,45.36,-73.48,27.0,62,90,13.87
10,Beringovskiy,RU,2020-01-05 14:22:01,63.05,179.32,-6.88,77,94,18.88
11,Castro,CL,2020-01-05 14:22:02,-42.48,-73.76,57.2,82,75,4.7
12,Narsaq,GL,2020-01-05 14:22:02,60.91,-46.05,21.2,62,75,4.7
13,Kodiak,US,2020-01-05 14:22:02,39.95,-94.76,41.0,74,1,11.68
14,Pevek,RU,2020-01-05 14:22:02,69.7,170.27,-7.19,80,0,6.64
15,Bambous Virieux,MU,2020-01-05 14:22:03,-20.34,57.76,77.0,94,75,9.17
16,Erdenet,MN,2020-01-05 14:22:03,49.03,104.04,1.42,79,0,3.49
17,Dhule,IN,2020-01-05 14:22:03,20.9,74.77,68.92,27,0,9.15
18,Aswan,EG,2020-01-05 14:22:03,24.09,32.9,55.9,25,0,6.42
19,Yerbogachen,RU,2020-01-05 14:22:04,61.28,108.01,9.84,91,100,12.19
20,Provideniya,RU,2020-01-05 14:22:04,64.42,-173.23,-9.94,98,85,8.19
21,Lebu,ET,2020-01-05 14:22:04,8.96,38.73,75.2,38,20,10.29
